  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1916ms
 ○ Compiling /middleware ...
 ✓ Compiled /middleware in 530ms (164 modules)
 ○ Compiling / ...
 ✓ Compiled / in 4.1s (1346 modules)
 GET / 200 in 4577ms
 ✓ Compiled in 601ms (675 modules)
 GET / 200 in 149ms
 ○ Compiling /login ...
 ✓ Compiled /api/companies in 3.4s (1539 modules)
 GET /api/auth/me 401 in 3157ms
 GET /?company=meta 200 in 3790ms
 GET /critical?company=meta 200 in 3814ms
 GET /stories?company=meta 200 in 3814ms
 GET /faq?company=meta 200 in 3814ms
 GET /comprehensive?company=meta 200 in 3815ms
 GET /login?redirect=%2Fretrospective 200 in 3742ms
 GET /api/auth/me 401 in 138ms
 GET /api/companies 200 in 3351ms
 GET /api/companies 200 in 103ms
 GET /api/companies 200 in 52ms
 GET /api/companies 200 in 25ms
 GET /api/companies 200 in 38ms
 GET /api/companies 200 in 37ms
 GET /api/auth/me 401 in 67ms
 GET /api/auth/me 401 in 113ms
 GET /api/auth/me 401 in 86ms
 GET /api/companies 200 in 128ms
 GET /api/companies 200 in 133ms
 GET /api/auth/me 401 in 141ms
 GET /api/auth/me 401 in 141ms
 GET /api/auth/me 401 in 105ms
 GET /api/auth/me 401 in 105ms
 ✓ Compiled /api/faqs in 256ms (837 modules)
 ✓ Compiled (845 modules)
 GET /api/auth/me 401 in 569ms
 GET /api/auth/me 401 in 569ms
 GET /api/auth/me 401 in 521ms
 GET /api/auth/me 401 in 521ms
 GET /api/auth/me 401 in 521ms
 GET /api/companies 200 in 714ms
 GET /api/companies 200 in 722ms
 GET /api/companies 200 in 667ms
 GET /api/companies 200 in 668ms
 GET /api/companies 200 in 655ms
 GET /api/companies 200 in 731ms
 GET /api/companies 200 in 627ms
 GET /api/companies 200 in 52ms
 GET /api/companies 200 in 47ms
 GET /api/companies 200 in 48ms
 GET /api/companies 200 in 57ms
