  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1686ms
 ✓ Compiled /middleware in 214ms (164 modules)
 ○ Compiling / ...
 ✓ Compiled / in 3.5s (1339 modules)
 GET / 200 in 3982ms
 ✓ Compiled in 563ms (675 modules)
 ○ Compiling /api/companies ...
 ✓ Compiled /api/companies in 1878ms (781 modules)
 ✓ Compiled (784 modules)
 GET /api/auth/me 401 in 2163ms
 GET /api/auth/me 401 in 53ms
 GET /api/companies 200 in 2263ms
 GET /api/companies 200 in 20ms
 GET /api/companies 200 in 19ms
 GET /api/companies 200 in 18ms
 GET /api/companies 200 in 17ms
 GET /api/companies 200 in 21ms
 GET /api/companies 200 in 19ms
 GET /api/companies 200 in 17ms
 GET / 200 in 128ms
 GET /?company=meta 200 in 129ms
 ○ Compiling /signup ...
 ✓ Compiled /signup in 2.3s (1623 modules)
 GET /api/auth/me 401 in 1924ms
 GET /api/auth/me 401 in 1921ms
 GET /api/companies 200 in 1966ms
 GET /api/companies 200 in 1968ms
 GET /stories?company=meta 200 in 2597ms
 GET /critical?company=meta 200 in 2628ms
 GET /comprehensive?company=meta 200 in 2637ms
 GET /faq?company=meta 200 in 2612ms
 GET /login 200 in 2612ms
 GET /login?redirect=%2Fretrospective 200 in 2540ms
 GET /signup 200 in 2594ms
 GET /api/auth/me 401 in 199ms
 GET /api/auth/me 401 in 198ms
 GET /api/companies 200 in 190ms
 GET /api/companies 200 in 193ms
 GET /api/companies 200 in 84ms
 GET /api/companies 200 in 84ms
 GET /api/companies 200 in 34ms
 GET /api/companies 200 in 34ms
 GET /api/companies 200 in 30ms
 GET /api/companies 200 in 30ms
 GET /api/companies 200 in 45ms
 GET /api/companies 200 in 46ms
 GET /api/companies 200 in 49ms
 GET /api/companies 200 in 50ms
 GET /api/auth/me 401 in 104ms
 GET /api/auth/me 401 in 92ms
 GET /api/auth/me 401 in 138ms
