  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1861ms
 ✓ Compiled /middleware in 215ms (164 modules)
 ○ Compiling / ...
 ✓ Compiled / in 2.6s (1341 modules)
 GET / 200 in 3075ms
 ✓ Compiled in 576ms (676 modules)
 GET / 200 in 121ms
 GET /?company=meta 200 in 126ms
 ○ Compiling /login ...
 GET /api/auth/me 401 in 1942ms
 GET /api/auth/me 401 in 1941ms
 GET /api/companies 500 in 2004ms
 GET /api/companies 500 in 2003ms
 GET /stories?company=meta 200 in 2775ms
 GET /companies?company=meta 200 in 2775ms
 GET /faq?company=meta 200 in 2764ms
 GET /critical?company=meta 200 in 2782ms
 GET /login?redirect=%2Fretrospective 200 in 2726ms
 GET /comprehensive?company=meta 200 in 2791ms
 GET /api/auth/me 401 in 130ms
 GET /api/auth/me 401 in 237ms
 GET /api/companies 500 in 205ms
 GET /api/companies 500 in 205ms
 GET /api/companies 500 in 66ms
 GET /api/companies 500 in 101ms
 GET /api/companies 500 in 50ms
 GET /api/companies 500 in 59ms
 GET /api/companies 500 in 30ms
 GET /api/companies 500 in 48ms
 GET /api/companies 500 in 58ms
 GET /api/companies 500 in 68ms
 GET /api/companies 500 in 59ms
 GET /api/auth/me 401 in 118ms
 GET /api/companies 500 in 159ms
 GET /api/auth/me 401 in 171ms
 GET /api/auth/me 401 in 171ms
 GET /api/companies 500 in 146ms
 GET /api/auth/me 401 in 166ms
 GET /api/auth/me 401 in 147ms
 GET /api/auth/me 401 in 143ms
 GET /api/companies 500 in 173ms
 GET /api/companies 500 in 173ms
 GET /api/auth/me 401 in 161ms
 GET /api/companies 500 in 669ms
 GET /api/companies 500 in 668ms
 GET /api/companies 500 in 668ms
 GET /api/companies 500 in 668ms
 GET /api/auth/me 401 in 650ms
 GET /api/auth/me 401 in 619ms
 GET /api/auth/me 401 in 613ms
 GET /api/auth/me 401 in 614ms
