  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 ✓ Starting...
 ✓ Ready in 1566ms
 ✓ Compiled /middleware in 221ms (164 modules)
 ○ Compiling / ...
 ✓ Compiled / in 2.6s (1359 modules)
 GET / 200 in 3127ms
 ✓ Compiled in 609ms (685 modules)
 GET / 200 in 94ms
 GET /?company=meta 200 in 219ms
 ○ Compiling /login ...
 ✓ Compiled /api/companies in 2.5s (1645 modules)
 GET /api/auth/me 401 in 2160ms
 GET /api/auth/me 401 in 2035ms
 GET /api/companies 401 in 2255ms
 GET /api/companies 401 in 2134ms
 GET /critical?company=meta 200 in 3019ms
 GET /faq?company=meta 200 in 3007ms
 GET /stories?company=meta 200 in 3022ms
 GET /companies?company=meta 200 in 3016ms
 GET /login?redirect=%2Fretrospective 200 in 2943ms
 GET /comprehensive?company=meta 200 in 3046ms
 GET /api/auth/me 401 in 183ms
 GET /api/auth/me 401 in 182ms
 GET /api/companies 401 in 197ms
 GET /api/companies 401 in 197ms
 GET /api/companies 401 in 85ms
 GET /api/companies 401 in 85ms
 GET /api/companies 401 in 38ms
 GET /api/companies 401 in 48ms
 GET /api/companies 401 in 60ms
 GET /api/companies 401 in 56ms
 GET /api/companies 401 in 41ms
 GET /api/companies 401 in 62ms
 GET /api/auth/me 401 in 110ms
 GET /api/auth/me 401 in 97ms
 GET /api/companies 401 in 133ms
 GET /api/companies 401 in 170ms
 GET /api/companies 401 in 169ms
 GET /api/companies 401 in 169ms
 GET /api/companies 401 in 150ms
 ✓ Compiled /api/stories in 317ms (891 modules)
 ✓ Compiled (899 modules)
 GET /api/auth/me 401 in 716ms
 GET /api/auth/me 401 in 654ms
 GET /api/auth/me 401 in 653ms
 GET /api/auth/me 401 in 648ms
 GET /api/auth/me 401 in 724ms
 GET /api/companies 401 in 618ms
 GET /api/auth/me 401 in 650ms
 GET /api/companies 401 in 655ms
 GET /api/companies 401 in 655ms
